1002|Hahahaha.. Mr. Minister, so how is this Messina province? Messina province is beautiful, filled with beautiful people. We need a device just like this one. We need to finish our farming before the winter arrives, because it is impossible to do farming in the snow. Take us to Messina province with you. We will teach you how to use this farming machine ourselves.|Hahahaha.. Mr. Minister, so how is this Messina province? Messina province is beautiful, filled with beautiful people. We need a device just like this one. We need to finish our farming before the winter arrives, because it is impossible to do farming in the snow. Take us to Messina province with you. We will teach you how to use this farming machine ourselves.
1003|All years in government!|All years in government!
1004|Hey, Bhanu! Wow! Looks like the whole of Masina province is here! So much excitement for a farming machine!|Hey, Bhanu! Wow! Looks like the whole of Masina province is here! So much excitement for a farming machine!
1005|So then come! Let's get started without wasting any more time!|So then come! Let's get started without wasting any more time!
1006|All over the place... Ooh, ooh. Ooh! Ooh! Oooh! Ahh! Time to go with that. There's not much time left. Ooh! Ooh! Ooh! Ooh! Ooh! Ahh! Ooh! Ooh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh!|All over the place... Ooh, ooh. Ooh! Ooh! Oooh! Ahh! Time to go with that. There's not much time left. Ooh! Ooh! Ooh! Ooh! Ooh! Ahh! Ooh! Ooh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh! Ahh!
1007|you|you
1008|Huh?|Huh?
1009|E Chimera.|E Chimera.
1010|The device is great! Now we can finish our farming before the winter even begins! Cheers to Team Gojekbud!|The device is great! Now we can finish our farming before the winter even begins! Cheers to Team Gojekbud!
1011|Mm-hmm.|Mm-hmm.
1012|Now this is what you call a Royal Feast! I'm sorry, we forgot to keep the sherbet on the table. I'll be back. I'm so tired! What? We are trying to find the elves in the forest since morning!|Now this is what you call a Royal Feast! I'm sorry, we forgot to keep the sherbet on the table. I'll be back. I'm so tired! What? We are trying to find the elves in the forest since morning!
1013|Elves? Yes, elves! And you know, dwarves can fulfill anything we wish for. Yes, dwarves! Elves? That's a need to meet them for sure! Come on, let's go! Hey! What have Bhima and his friends disappeared? Umm... You, Erika and Helga, sent them into the forest to find some wish for us. What? You two are at it again? I have to stop them all before they find the elves and it's too late.|Elves? Yes, elves! And you know, dwarves can fulfill anything we wish for. Yes, dwarves! Elves? That's a need to meet them for sure! Come on, let's go! Hey! What have Bhima and his friends disappeared? Umm... You, Erika and Helga, sent them into the forest to find some wish for us. What? You two are at it again? I have to stop them all before they find the elves and it's too late.
1014||
1015|Huh? Huh? Huh? Huh? Huh?|Huh? Huh? Huh? Huh? Huh?
1016|Huh?|Huh?
1017|We have been walking in the forest since so long, but there is no sign of elves! We found them! Come on, let's get our wishes fulfilled! Let me inform you all that these elves are very hot headed. They'll never grant your wishes, but they can curse you. They don't like humans at all. The only things they like are flowers. We are sorry! Please forgive us! We were just kidding! Who's out there? Who's trying to spy on us? I'll turn you into a rabbit! Come out! Run! Huh?|We have been walking in the forest since so long, but there is no sign of elves! We found them! Come on, let's get our wishes fulfilled! Let me inform you all that these elves are very hot headed. They'll never grant your wishes, but they can curse you. They don't like humans at all. The only things they like are flowers. We are sorry! Please forgive us! We were just kidding! Who's out there? Who's trying to spy on us? I'll turn you into a rabbit! Come out! Run! Huh?
1018|Heh heh heh! **|Heh heh heh! **
1019|Wait till Dabs find out. He'll be really angry. We are so sorry. Please forgive us. We will never miss the year again. If our friends are angry with us, we will lighten up the mood. We will dance for them like a frog. Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! You two are just so cute.|Wait till Dabs find out. He'll be really angry. We are so sorry. Please forgive us. We will never miss the year again. If our friends are angry with us, we will lighten up the mood. We will dance for them like a frog. Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! Whoa! You two are just so cute.
1020|Your Highness, the army is waiting for your orders to launch the attack!|Your Highness, the army is waiting for your orders to launch the attack!
1021|Get my horse ready now!|Get my horse ready now!
1022|It's time to head for an attack.|It's time to head for an attack.
1023|Boom.|Boom.
1024|Huh?|Huh?
1025|Mmm.|Mmm.
1026|Evil Emperor Hidoeshin has launched his attack on our kingdom.|Evil Emperor Hidoeshin has launched his attack on our kingdom.
1027|injured and we have very few soldiers but we are not going to let this scare us right? We will fight show all might! This is my chance to prove that I am better than anyone!|injured and we have very few soldiers but we are not going to let this scare us right? We will fight show all might! This is my chance to prove that I am better than anyone!
1028|Commander sir what?|Commander sir what?
1029|Yeah, yeah, yeah, yeah.|Yeah, yeah, yeah, yeah.
1030|Hee hee hee hee hee hee hee hee hee...|Hee hee hee hee hee hee hee hee hee...
1031|By the time the sun sets today, no one would be praising Bhim at all. Instead, they'll be singing in praise of Kalia's bravery. Hey boss!|By the time the sun sets today, no one would be praising Bhim at all. Instead, they'll be singing in praise of Kalia's bravery. Hey boss!
1032|Will you both get down or shall I change the shape of your faces? Even if you don't change the shape, this show will do the needful boss.|Will you both get down or shall I change the shape of your faces? Even if you don't change the shape, this show will do the needful boss.
1033|Uh...This army looks like a huge ocean, guys! And we will surely drown in this ocean! My dear Iga soldiers, I know the conditions don't look favorable for our army. But we are not going to give up our fight till our last breath! Attack!|Uh...This army looks like a huge ocean, guys! And we will surely drown in this ocean! My dear Iga soldiers, I know the conditions don't look favorable for our army. But we are not going to give up our fight till our last breath! Attack!
1034|Sigh|Sigh
1035|How I wish some angel could drop in and help us. All eager soldiers to surge ahead now.|How I wish some angel could drop in and help us. All eager soldiers to surge ahead now.
1036|Heeeeeeeeeeey...|Heeeeeeeeeeey...
1037|UGH|UGH
1038|There! Rawr! Meow! Ha! Ah! Ah!|There! Rawr! Meow! Ha! Ah! Ah!
1039|Buh-bye!|Buh-bye!
1040|Huh?|Huh?
1041|Huh? Ugh!|Huh? Ugh!
1042|Eeeehh! Eeeehh! Eeeh! Eeeh!|Eeeehh! Eeeehh! Eeeh! Eeeh!
1043|Hmm? Where did they come from?|Hmm? Where did they come from?
1044|The King of Eiga is going through such a bad time that he is forced to make a kid the head of his army?|The King of Eiga is going through such a bad time that he is forced to make a kid the head of his army?
1045|It's you whose bad times have begun, Sidhu Ishaik! A puny little boy? And he's trying to challenge me?|It's you whose bad times have begun, Sidhu Ishaik! A puny little boy? And he's trying to challenge me?
1046|OK.|OK.
1047|Ugh! Ugh! Ugh! Ugh!|Ugh! Ugh! Ugh! Ugh!
1048|Ugh! Ugh! Ugh! Ugh! Ugh! Ugh! Ugh! Ugh! Ah!|Ugh! Ugh! Ugh! Ugh! Ugh! Ugh! Ugh! Ugh! Ah!
1049|Hu protected and violence|Hu protected and violence
1050|Hmm|Hmm
1051|Huh?|Huh?
1052|Ahh! Hahahaha!|Ahh! Hahahaha!
1053|Uh-oh.|Uh-oh.
1054|Rrrgh! Eugh! Eugh! Eugh! Aaaagh! Aaaagh! Ugh. Ugh.|Rrrgh! Eugh! Eugh! Eugh! Aaaagh! Aaaagh! Ugh. Ugh.
1055|OOOOH hmmm PM crown Simon is vols register When H cube happens I cooked it|OOOOH hmmm PM crown Simon is vols register When H cube happens I cooked it
1056|Look, Raji Jagoo! With the Emperor getting injured, his entire army has lost its self-confidence! Yes, Chutki!|Look, Raji Jagoo! With the Emperor getting injured, his entire army has lost its self-confidence! Yes, Chutki!
1057|Once we cross those mountains, we reach the border of our Iga province.|Once we cross those mountains, we reach the border of our Iga province.
1058|The mountain wind is quite chilly.|The mountain wind is quite chilly.
1059|Listen to that.|Listen to that.
1060|What's the matter, Beem? Sounds like some small animal is crying. Uh, a fawn of a sithka deer. Let's go.|What's the matter, Beem? Sounds like some small animal is crying. Uh, a fawn of a sithka deer. Let's go.
1061|Oh no! Both got stuck in vines!|Oh no! Both got stuck in vines!
1062|Just hold on, Chutki. My pain. Something is not right. Looks as if someone is out there.|Just hold on, Chutki. My pain. Something is not right. Looks as if someone is out there.
1063|Huh? Oh, I bet! Huh? Huh?|Huh? Oh, I bet! Huh? Huh?
1064|Dare you even think of touching her?|Dare you even think of touching her?
1065|Huh? Huh?|Huh? Huh?
1066|Eugh! Eugh! Eugh! Eugh!|Eugh! Eugh! Eugh! Eugh!
1067|Heh heh!|Heh heh!
1068|No!|No!
1069|Huh?|Huh?
1070|Sam, we need to attack him from two sides! Or else it may injure either one of us!|Sam, we need to attack him from two sides! Or else it may injure either one of us!
1071|Huh? Phew! Ugh!|Huh? Phew! Ugh!
1072|Ugh!|Ugh!
1073|Huh? Sam, those wild vines! We can tie him up with those! Hmm! Now we just need to distract him! Let me do that! Hey you fat sir! Come here!|Huh? Sam, those wild vines! We can tie him up with those! Hmm! Now we just need to distract him! Let me do that! Hey you fat sir! Come here!
1074|Wow! Bholu, our boss is not as coward as we think. Yes, he is calling the bear towards himself. Look over here. These two are calling you bear.|Wow! Bholu, our boss is not as coward as we think. Yes, he is calling the bear towards himself. Look over here. These two are calling you bear.
1075|Talk inizing the|Talk inizing the
1076|Hmm. Hahaha. Hmm. It's not so scary you see. Yes. No wonder you pushed us ahead and went and hid behind the bushes yourself.|Hmm. Hahaha. Hmm. It's not so scary you see. Yes. No wonder you pushed us ahead and went and hid behind the bushes yourself.
1077|This means the sun will shine and there will be rain too.|This means the sun will shine and there will be rain too.
1078|Finally! There will be some rain in Dholakot! And then we'll jump up and down in the funnels! What fun! Aha! Neem! Children! Come, come! Kalia and Dholu-Bholu are already here to see my kitchen robot! Kitchen robot? Yes! Made out class, my helper in the kitchen can do so many jobs! Oh! Can he even scream like Kalia? Oh no! What's this? The robot is out of control! Hey Dholu-Bholu! Why are you making him chase me? Oh no! We were just trying to make an omelet for you boss! This way I'll be coming home with myself! Help me! Help me someone! Help me! What were you both into? Ninh-Ninh-Pig! We had only pressed a few buttons! Thank goodness! You did not press all the buttons! Is the remote not working properly, Professor Dhoon Kethu? No, Beheem! This will not stop now! But we have to stop it! Or Kalia will be in danger!|Finally! There will be some rain in Dholakot! And then we'll jump up and down in the funnels! What fun! Aha! Neem! Children! Come, come! Kalia and Dholu-Bholu are already here to see my kitchen robot! Kitchen robot? Yes! Made out class, my helper in the kitchen can do so many jobs! Oh! Can he even scream like Kalia? Oh no! What's this? The robot is out of control! Hey Dholu-Bholu! Why are you making him chase me? Oh no! We were just trying to make an omelet for you boss! This way I'll be coming home with myself! Help me! Help me someone! Help me! What were you both into? Ninh-Ninh-Pig! We had only pressed a few buttons! Thank goodness! You did not press all the buttons! Is the remote not working properly, Professor Dhoon Kethu? No, Beheem! This will not stop now! But we have to stop it! Or Kalia will be in danger!
1079|eredith Ship Tobey|eredith Ship Tobey
1080|Mummy! I'm sorry, professor. I only wanted to stop the robot from hurting Kalya, not break it. I know, Bhim. It's good that this glass is of a different kind, and I can fix it. I just need to collect all the pieces. Wow! Look at this, Bhim. It's like a pretty little rainbow. Remember? Uncle was telling us a story yesterday, about how the rainbow got made. Which story? The story of a very powerful dragon who made a rainbow in the sky, so that he could defeat the cruel Hazzoc. Really? And I thought a rainbow is formed when rays of the sun fall on water droplets and turn direction, and that's when we see the seven colours. This is something that went over our heads. As if you both understand everything that you're told. If we did, we would not have been with you. What did you say? I'll show you about it. Actually, now's the right weather for the rainbow to be seen. But for that, it has to rain too.|Mummy! I'm sorry, professor. I only wanted to stop the robot from hurting Kalya, not break it. I know, Bhim. It's good that this glass is of a different kind, and I can fix it. I just need to collect all the pieces. Wow! Look at this, Bhim. It's like a pretty little rainbow. Remember? Uncle was telling us a story yesterday, about how the rainbow got made. Which story? The story of a very powerful dragon who made a rainbow in the sky, so that he could defeat the cruel Hazzoc. Really? And I thought a rainbow is formed when rays of the sun fall on water droplets and turn direction, and that's when we see the seven colours. This is something that went over our heads. As if you both understand everything that you're told. If we did, we would not have been with you. What did you say? I'll show you about it. Actually, now's the right weather for the rainbow to be seen. But for that, it has to rain too.
1081|you|you
1082|What an enjoyable day it was today. I am glad that the professor could reassemble and repair the robot.|What an enjoyable day it was today. I am glad that the professor could reassemble and repair the robot.
1083||
1084|Gaja! Gaja! Gaja! The winner of past many years of this annual competition, Crown Prince Gaja is arriving here!|Gaja! Gaja! Gaja! The winner of past many years of this annual competition, Crown Prince Gaja is arriving here!
1085|you|you
1086|Is there anyone amongst you who would like to challenge him for this year's competition? Do we have anyone who can challenge Prince Ghajar in this Kalari Payetu competition?|Is there anyone amongst you who would like to challenge him for this year's competition? Do we have anyone who can challenge Prince Ghajar in this Kalari Payetu competition?
1087|You have me.|You have me.
1088|Hmm.|Hmm.
1089|I am going to be the winner this year.|I am going to be the winner this year.
1090|On behalf of my guru Mathai's Kalari, I challenge Prince Gaja for a fight of Kalari Payatu with me. When your guru himself couldn't manage to survive in front of me, you will be blown miles away just by my breath, dear boy.|On behalf of my guru Mathai's Kalari, I challenge Prince Gaja for a fight of Kalari Payatu with me. When your guru himself couldn't manage to survive in front of me, you will be blown miles away just by my breath, dear boy.
1091|Everyone listen to what I am saying! Crown Prince Gaja will not fight with just any novice!|Everyone listen to what I am saying! Crown Prince Gaja will not fight with just any novice!
1092|Let them all fight among themselves, and whosoever wins amongst them, he is the one who will get an opportunity to fight with me!|Let them all fight among themselves, and whosoever wins amongst them, he is the one who will get an opportunity to fight with me!
1093|As you wish, Prince.|As you wish, Prince.
1094|Let the competition begin!|Let the competition begin!
1095|Roar-ho-ho.|Roar-ho-ho.
1096|MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM|MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMM
1097|Ugh.|Ugh.
1098|LAUGHING|LAUGHING
1099|ahh b AnnualAnn|ahh b AnnualAnn
1100|Hehehehehehe!|Hehehehehehe!
1101||
1102|Ahhhh!|Ahhhh!
1103|All thats happening is The Between... when the story is complete|All thats happening is The Between... when the story is complete
1104|Huh?|Huh?
1105|That's so interesting!|That's so interesting!
1106|Let us all sing!|Let us all sing!
1107|God, yeah, God, yeah, God, yeah, God, yeah.|God, yeah, God, yeah, God, yeah, God, yeah.
1108|Avoid!|Avoid!
1109|Ugh!|Ugh!
1110|Ah!|Ah!
1111|Ugh!|Ugh!
1112|Hyah! Hyah! Hyah!|Hyah! Hyah! Hyah!
1113|Guru Mathai may have trained you well, but the move that I specialize in, no one can ever teach you the counter move to that.|Guru Mathai may have trained you well, but the move that I specialize in, no one can ever teach you the counter move to that.
1114|Hmm... Gaja! Gaja! Go Jo! Gaja! Gaja! Go Jo! He walks into my kingdom, learns my martial art, then challenges me of all the people! If your arrogance has taken enough beating by now, you should forget Kalaripayattu and start preparing to go back home instead!|Hmm... Gaja! Gaja! Go Jo! Gaja! Gaja! Go Jo! He walks into my kingdom, learns my martial art, then challenges me of all the people! If your arrogance has taken enough beating by now, you should forget Kalaripayattu and start preparing to go back home instead!
1115|you|you
1116|Come on!|Come on!
1117|Mm-hmm.|Mm-hmm.
1118|Oh! Do you think I'm a numbskull? Huh? No, no, no, no!|Oh! Do you think I'm a numbskull? Huh? No, no, no, no!
1119|Of course not, boss.|Of course not, boss.
1120|Though I don't know about the number, but you're definitely not just a skull. You both are going to have it from me.|Though I don't know about the number, but you're definitely not just a skull. You both are going to have it from me.
1121|Stop both of you! Come on, Kalia. Let them be. Why don't you do your work and let me and my boys do whatever we want to? That reminds me, Bhim. Professor Dhumketu had called you to his laboratory for some work. It's about something called a lava car. Everyone just calls Bhim all the time.|Stop both of you! Come on, Kalia. Let them be. Why don't you do your work and let me and my boys do whatever we want to? That reminds me, Bhim. Professor Dhumketu had called you to his laboratory for some work. It's about something called a lava car. Everyone just calls Bhim all the time.
1122|Why doesn't Professor Dumke ever call me for any work? Had that been of any use, he would have surely called. What did you just say? I was just saying that you're the one and only world famous wrestler of Dholakpur. So you can walk in uninvited anywhere, Kalya boss. You got a point. So let's go.|Why doesn't Professor Dumke ever call me for any work? Had that been of any use, he would have surely called. What did you just say? I was just saying that you're the one and only world famous wrestler of Dholakpur. So you can walk in uninvited anywhere, Kalya boss. You got a point. So let's go.
1123|This is my lava car. But where is the lava, Uncle? Well, kids, if I had really put boiling lava into this...|This is my lava car. But where is the lava, Uncle? Well, kids, if I had really put boiling lava into this...
1124|Do you think making this machine, I mean this car would have been possible? Of course not! Hot molten lava can even melt steel!|Do you think making this machine, I mean this car would have been possible? Of course not! Hot molten lava can even melt steel!
1125|And when it cools down, it becomes solid and heavy as a rock. That is why instead of using actual lava in this car of mine, I have used certain new chemicals which mimic the properties of real molten lava. But what does this car actually do, Uncle? Well, actually, I made this for car racing, you see.|And when it cools down, it becomes solid and heavy as a rock. That is why instead of using actual lava in this car of mine, I have used certain new chemicals which mimic the properties of real molten lava. But what does this car actually do, Uncle? Well, actually, I made this for car racing, you see.
1126|Car racing? I was thinking, if you can trial this car out, Veen.|Car racing? I was thinking, if you can trial this car out, Veen.
1127|Why him? Why not me? Salia, what were you doing behind the bushes? He was hiding and listening to what you were discussing. If anyone gets to trial this car first, that should be me. Whether he would be able to understand the intricacies of this car or not. Instead of understanding intricacies, boss understands delicacies better. Although all the controls are inside the car, but for the sake of convenience, I have made this remote for it. Which would be used by us.|Why him? Why not me? Salia, what were you doing behind the bushes? He was hiding and listening to what you were discussing. If anyone gets to trial this car first, that should be me. Whether he would be able to understand the intricacies of this car or not. Instead of understanding intricacies, boss understands delicacies better. Although all the controls are inside the car, but for the sake of convenience, I have made this remote for it. Which would be used by us.
1128|Let me down! Don't know about you! Enough now!|Let me down! Don't know about you! Enough now!
1129|OH MAH template|OH MAH template
1130|Dholu, Bholu, stop it now! Come on! Why can't we both have a little fun, Beem? We're just prying out everything in this new car. Mummy! Kalia! Crazy smoke!|Dholu, Bholu, stop it now! Come on! Why can't we both have a little fun, Beem? We're just prying out everything in this new car. Mummy! Kalia! Crazy smoke!
1131|Oh no! What's this? Yikes! Out of the way! Him! Take this!|Oh no! What's this? Yikes! Out of the way! Him! Take this!
1132|Myers!|Myers!
1133|Don't worry, everything is fine.|Don't worry, everything is fine.
1134|Mmm. Me?|Mmm. Me?
1135|Hope you didn't get hurt.|Hope you didn't get hurt.
1136|And how's Kalya? Yes, we are fine, but your car...|And how's Kalya? Yes, we are fine, but your car...
1137|Hmm, well, let me take this vehicle back to my laboratory.|Hmm, well, let me take this vehicle back to my laboratory.
1138|Oh, my bones are aching so badly. Do you really have any bones? I thought it's only fat in there.|Oh, my bones are aching so badly. Do you really have any bones? I thought it's only fat in there.
1139|Greetings my lord! Come Bhim! Well kids, there's a lovely mountain at the border of Dholakpur called Nili Pahari. I want you all to go there on a holiday trip. Whatever trekking gear, tents and all you would need for that, I'll provide them. Consider it a small gift from me.|Greetings my lord! Come Bhim! Well kids, there's a lovely mountain at the border of Dholakpur called Nili Pahari. I want you all to go there on a holiday trip. Whatever trekking gear, tents and all you would need for that, I'll provide them. Consider it a small gift from me.
1140|I'm sure you're all going to enjoy this camping trip. So are you all willing? Yes, my Lord.|I'm sure you're all going to enjoy this camping trip. So are you all willing? Yes, my Lord.
1141|Neeli pahari. Wow.|Neeli pahari. Wow.
1142|Mmm!|Mmm!
1143|Hey!|Hey!
1144|Huh?|Huh?
1145|This is nowhere close to the color blue. Then why is this called Blue Mountain on Neelipahadi? You fools! That's just a name. A name!|This is nowhere close to the color blue. Then why is this called Blue Mountain on Neelipahadi? You fools! That's just a name. A name!
1146|Having latus at night is much more fun, guys.|Having latus at night is much more fun, guys.
1147|Heaven knows what's there on top of that mountain where that old battle was fought. Raju, this is a holiday trip. We are here to have fun. Not to climb on top of a mountain. It's quite late at night. I'm feeling very sleepy.|Heaven knows what's there on top of that mountain where that old battle was fought. Raju, this is a holiday trip. We are here to have fun. Not to climb on top of a mountain. It's quite late at night. I'm feeling very sleepy.
1148|I'll be on guard duty. All of you go to sleep.|I'll be on guard duty. All of you go to sleep.
1149|Let's go to sleep then. Beam is protecting everyone even here. Like he does at Dholakpur.|Let's go to sleep then. Beam is protecting everyone even here. Like he does at Dholakpur.
1150|Let me do the guarding. But Kaaliya... Veeam! Neeli Pahadi's expert is Kaaliya the wrestler. I'll do the guard duty. Rest will sleep.|Let me do the guarding. But Kaaliya... Veeam! Neeli Pahadi's expert is Kaaliya the wrestler. I'll do the guard duty. Rest will sleep.
1151|Oh|Oh
1152|Mm-hmm|Mm-hmm
